clean_name,target_account_name
LEGAL RETAINER,Retainers/Project Income
CA RETAINER,Retainers/Project Income
PROJECT INCOME,Retainers/Project Income
CONSULTANT RETAINER,Retainers/Project Income
LICENSE RENEWAL,Licensing & Certifications
CERTIFICATION FEES,Licensing & Certifications
ICAI FEES,Licensing & Certifications
ICSI FEES,Licensing & Certifications
BAR COUNCIL FEES,Licensing & Certifications
CA MEMBERSHIP,Licensing & Certifications
PROFESSIONAL LICENSE,Licensing & Certifications
TRADE LICENSE,Licensing & Certifications
SHOP LICENSE,Licensing & Certifications
FSSAI LICENSE,Licensing & Certifications
BUSINESS REGISTRATION FEES,Licensing & Certifications
DRUG LICENSE,Licensing & Certifications
CPA LICENSE,Licensing & Certifications
MEDICAL COUNCIL,Licensing & Certifications
BCI FEES,Licensing & Certifications
RENEWAL LICENSE,Licensing & Certifications
GOVT CERTIFICATION,Licensing & Certifications
ISO CERTIFICATION,Licensing & Certifications
BUREAU FEES,Licensing & Certifications
STATUTORY LICENSE,Licensing & Certifications
PRACTITIONER LICENSE,Licensing & Certifications
LICENSE FEE DEBIT,Licensing & Certifications
CERT RENEWAL,Licensing & Certifications
ANNUAL LICENSE,Licensing & Certifications
PI INSURANCE,Professional Indemnity Insurance
INDEMNITY INSURANCE,Professional Indemnity Insurance
PROFESSIONAL INSURANCE,Professional Indemnity Insurance
ERROR INSURANCE,Professional Indemnity Insurance
LIABILITY INSURANCE,Professional Indemnity Insurance
MALPRACTICE INSURANCE,Professional Indemnity Insurance
PI POLICY,Professional Indemnity Insurance
PROFESSIONAL LIABILITY,Professional Indemnity Insurance
BAJAJ ALLIANZ PI,Professional Indemnity Insurance
ICICI PI INSURANCE,Professional Indemnity Insurance
INDEMNITY POLICY,Professional Indemnity Insurance
E&O INSURANCE,Professional Indemnity Insurance
ERRORS OMISSIONS,Professional Indemnity Insurance
PROFESSIONAL RISK,Professional Indemnity Insurance
TATA AIG PI,Professional Indemnity Insurance
NEW INDIA PI,Professional Indemnity Insurance
PROFESSIONAL COVER,Professional Indemnity Insurance
RISK INSURANCE,Professional Indemnity Insurance
POLICY PREMIUM PI,Professional Indemnity Insurance
PROFESSIONAL INDEMNITY PREMIUM,Professional Indemnity Insurance
INDEMNITY PREMIUM,Professional Indemnity Insurance
LIABILITY PREMIUM,Professional Indemnity Insurance
WORKSHOP FEES,Continuing Education & Research
SEMINAR REGISTRATION,Continuing Education & Research
CME CREDITS,Continuing Education & Research
RESEARCH SUBSCRIPTION,Continuing Education & Research
JOURNAL SUBSCRIPTION,Continuing Education & Research
ACADEMIC CONFERENCE,Continuing Education & Research
TRAINING PROGRAM,Continuing Education & Research
PROFESSIONAL COURSE,Continuing Education & Research
UPSKILLING COST,Continuing Education & Research
CERTIFICATION COURSE,Continuing Education & Research
RESEARCH PAPER,Continuing Education & Research
MEDSCAPE CME,Continuing Education & Research
CLE CREDITS,Continuing Education & Research
CPD COURSE,Continuing Education & Research
CONTINUING EDUCATION,Continuing Education & Research
ADVANCED TRAINING,Continuing Education & Research
SPECIALIST TRAINING,Continuing Education & Research
PROFESSIONAL LEARNING,Continuing Education & Research
CONFERENCE REGISTRATION,Continuing Education & Research
SUMMIT FEES,Continuing Education & Research
ONLINE COURSE DEBIT,Continuing Education & Research
E-LEARNING PROFESSIONAL,Continuing Education & Research
SKILL UPGRADE,Continuing Education & Research
RESEARCH FEES,Continuing Education & Research
PROFESSIONAL MEMBERSHIP,Memberships & Subscriptions
CLUB MEMBERSHIP,Memberships & Subscriptions
INDUSTRY ASSOCIATION,Memberships & Subscriptions
CHAMBER OF COMMERCE,Memberships & Subscriptions
BAR ASSOCIATION FEES,Memberships & Subscriptions
CII MEMBERSHIP,Memberships & Subscriptions
ASSOCHAM FEES,Memberships & Subscriptions
FICCI MEMBERSHIP,Memberships & Subscriptions
PROFESSIONAL BODY FEES,Memberships & Subscriptions
CLUB ANNUAL FEES,Memberships & Subscriptions
ROTARY CLUB,Memberships & Subscriptions
LIONS CLUB,Memberships & Subscriptions
TRADE BODY MEMBERSHIP,Memberships & Subscriptions
FEDERATION FEES,Memberships & Subscriptions
GUILD MEMBERSHIP,Memberships & Subscriptions
SECTORAL BODY,Memberships & Subscriptions
ASSOCIATION DUES,Memberships & Subscriptions
MEMBER ANNUAL FEE,Memberships & Subscriptions
CORPORATE CLUB,Memberships & Subscriptions
GOLF CLUB DUES,Memberships & Subscriptions
ICAI MEMBER FEE,Memberships & Subscriptions
IMA MEMBERSHIP,Memberships & Subscriptions
NASSCOM FEES,Memberships & Subscriptions
PHD CHAMBER,Memberships & Subscriptions
STATIONERY PURCHASE,Practice/Office Supplies
OFFICE SUPPLIES,Practice/Office Supplies
PRINTER CARTRIDGE,Practice/Office Supplies
PAPER PURCHASE,Practice/Office Supplies
CLINIC SUPPLIES,Practice/Office Supplies
PRACTICE MATERIALS,Practice/Office Supplies
OFFICE CONSUMABLES,Practice/Office Supplies
DESK SUPPLIES,Practice/Office Supplies
PEN PENCIL SUPPLIES,Practice/Office Supplies
TONER PURCHASE,Practice/Office Supplies
NOTEPAD PURCHASE,Practice/Office Supplies
FILE FOLDER,Practice/Office Supplies
OFFICE STATIONERY,Practice/Office Supplies
RECEPTION SUPPLIES,Practice/Office Supplies
MEDICAL CONSUMABLES,Practice/Office Supplies
BANDAGE SUPPLY,Practice/Office Supplies
GLOVES SUPPLY,Practice/Office Supplies
DISPOSABLES PURCHASE,Practice/Office Supplies
FORMS PRINTING,Practice/Office Supplies
LETTERHEAD PRINTING,Practice/Office Supplies
VISITING CARDS,Practice/Office Supplies
RUBBER STAMP,Practice/Office Supplies
STAPLER PIN,Practice/Office Supplies
SCOTCH TAPE,Practice/Office Supplies
MEDICAL EQUIPMENT,Professional Equipment
DIAGNOSTIC MACHINE,Professional Equipment
LAPTOP PURCHASE,Professional Equipment
COMPUTER BUY,Professional Equipment
CAMERA EQUIPMENT,Professional Equipment
STUDIO GEAR,Professional Equipment
PROFESSIONAL TOOLS,Professional Equipment
LAB EQUIPMENT,Professional Equipment
SURGICAL INSTRUMENTS,Professional Equipment
STETHOSCOPE,Professional Equipment
ECG MACHINE,Professional Equipment
ULTRASOUND MACHINE,Professional Equipment
DENTAL EQUIPMENT,Professional Equipment
LEGAL SCANNER,Professional Equipment
CA HARDWARE,Professional Equipment
MEASUREMENT INSTRUMENT,Professional Equipment
ARCHITECT TOOLS,Professional Equipment
ENGINEERING TOOLS,Professional Equipment
PROFESSIONAL GADGET,Professional Equipment
SERVER PURCHASE,Professional Equipment
HIGH-END PRINTER,Professional Equipment
PROJECTOR PURCHASE,Professional Equipment
RECORDING EQUIPMENT,Professional Equipment
STUDIO CAMERA,Professional Equipment
APMC RECEIPT,Crop Sales
MANDI PAYMENT,Crop Sales
CROP SALE CREDIT,Crop Sales
PRODUCE RECEIPT,Crop Sales
GRAIN SALE,Crop Sales
WHEAT SALE,Crop Sales
RICE SALE,Crop Sales
VEGETABLE SALE,Crop Sales
COTTON SALE,Crop Sales
KISAN CREDIT,Crop Sales
FARMER RECEIPT,Crop Sales
MANDI INCOME,Crop Sales
AGRICULTURE INCOME,Crop Sales
SUGARCANE SALE,Crop Sales
TOMATO SALE,Crop Sales
ONION SALE,Crop Sales
POTATO SALE,Crop Sales
HORTICULTURE INCOME,Crop Sales
CROP INCOME,Crop Sales
FARM PRODUCE SALE,Crop Sales
HARVEST SALE,Crop Sales
AGRI PRODUCE,Crop Sales
MARKET SALE FARMER,Crop Sales
CROP NEFT,Crop Sales
CATTLE SALE,Livestock Sales
ANIMAL SALE,Livestock Sales
DAIRY SALE,Livestock Sales
MILK SALE INCOME,Livestock Sales
POULTRY SALE,Livestock Sales
EGG SALE,Livestock Sales
LIVESTOCK RECEIPT,Livestock Sales
GOAT SALE,Livestock Sales
SHEEP SALE,Livestock Sales
BUFFALO SALE,Livestock Sales
ANIMAL MARKET RECEIPT,Livestock Sales
DAIRY INCOME,Livestock Sales
MEAT SALE,Livestock Sales
BULLOCK SALE,Livestock Sales
HORSE SALE,Livestock Sales
LIVESTOCK CREDIT,Livestock Sales
MANDI ANIMAL SALE,Livestock Sales
PASHU MELA INCOME,Livestock Sales
ANIMAL FAIR,Livestock Sales
COW SALE,Livestock Sales
PASHU CREDIT,Livestock Sales
LIVESTOCK NEFT,Livestock Sales
DAIRY FARM INCOME,Livestock Sales
POULTRY INCOME,Livestock Sales
PM KISAN CREDIT,Government Subsidies & Grants
GOVT SUBSIDY,Government Subsidies & Grants
KISAN SAMMAN NIDHI,Government Subsidies & Grants
PMFBY CLAIM,Government Subsidies & Grants
AGRICULTURE SUBSIDY,Government Subsidies & Grants
CROP INSURANCE,Government Subsidies & Grants
RURAL SUBSIDY,Government Subsidies & Grants
DBT CREDIT,Government Subsidies & Grants
GOVT TRANSFER,Government Subsidies & Grants
DBT FARMER,Government Subsidies & Grants
KISAN DBT,Government Subsidies & Grants
FARM SUBSIDY CREDIT,Government Subsidies & Grants
SOIL HEALTH CARD,Government Subsidies & Grants
AGRICULTURE DEPT,Government Subsidies & Grants
HORTICULTURE SUBSIDY,Government Subsidies & Grants
DRIP IRRIGATION SUBSIDY,Government Subsidies & Grants
SOLAR PUMP SUBSIDY,Government Subsidies & Grants
FERTILIZER SUBSIDY,Government Subsidies & Grants
SEED SUBSIDY,Government Subsidies & Grants
AGRI GRANT,Government Subsidies & Grants
RURAL GRANT,Government Subsidies & Grants
NABARD GRANT,Government Subsidies & Grants
SCHEME CREDIT,Government Subsidies & Grants
GOVT FARMING SCHEME,Government Subsidies & Grants
SEED PURCHASE,Seeds & Saplings
KRISHI KENDRA,Seeds & Saplings
NURSERY PURCHASE,Seeds & Saplings
SAPLING COST,Seeds & Saplings
SEED COMPANY PAYMENT,Seeds & Saplings
AGRO INPUT,Seeds & Saplings
BAYER SEEDS,Seeds & Saplings
SYNGENTA SEEDS,Seeds & Saplings
PIONEER SEEDS,Seeds & Saplings
UPL SEEDS,Seeds & Saplings
KAVERI SEEDS,Seeds & Saplings
MAHYCO SEEDS,Seeds & Saplings
SEEDLING PURCHASE,Seeds & Saplings
GRAFTED PLANT,Seeds & Saplings
HYBRID SEED,Seeds & Saplings
VEGETABLE SEEDS,Seeds & Saplings
PADDY SEEDS,Seeds & Saplings
WHEAT SEEDS,Seeds & Saplings
COTTON SEEDS,Seeds & Saplings
AGRI SEED STORE,Seeds & Saplings
HORTICULTURAL PLANT,Seeds & Saplings
PLANT NURSERY,Seeds & Saplings
GOVT SEEDS,Seeds & Saplings
KRISHI VIBHAG,Seeds & Saplings
FERTILIZER PURCHASE,Fertilizers & Pesticides
PESTICIDE COST,Fertilizers & Pesticides
AGRO CHEMICALS,Fertilizers & Pesticides
KISAN CHEMICALS,Fertilizers & Pesticides
UREA PURCHASE,Fertilizers & Pesticides
DAP FERTILIZER,Fertilizers & Pesticides
COROMANDEL,Fertilizers & Pesticides
IFFCO PURCHASE,Fertilizers & Pesticides
INSECTICIDE PURCHASE,Fertilizers & Pesticides
HERBICIDE,Fertilizers & Pesticides
FUNGICIDE,Fertilizers & Pesticides
NPK FERTILIZER,Fertilizers & Pesticides
POTASH PURCHASE,Fertilizers & Pesticides
CALCIUM NITRATE,Fertilizers & Pesticides
NEEM PESTICIDE,Fertilizers & Pesticides
CROP PROTECTION,Fertilizers & Pesticides
BAYER AGRO,Fertilizers & Pesticides
SYNGENTA AGRO,Fertilizers & Pesticides
UPL AGRO,Fertilizers & Pesticides
RALLIS INDIA,Fertilizers & Pesticides
AGRI INPUT STORE,Fertilizers & Pesticides
FERTILIZER DEPOT,Fertilizers & Pesticides
KHAAD PURCHASE,Fertilizers & Pesticides
RASAYAN KENDRA,Fertilizers & Pesticides
VET PAYMENT,Livestock Feed & Veterinary
ANIMAL FEED,Livestock Feed & Veterinary
CATTLE FEED,Livestock Feed & Veterinary
POULTRY FEED,Livestock Feed & Veterinary
VET CLINIC,Livestock Feed & Veterinary
ANIMAL DOCTOR,Livestock Feed & Veterinary
VETERINARY MEDICINES,Livestock Feed & Veterinary
LIVESTOCK VET,Livestock Feed & Veterinary
CATTLE MEDICINE,Livestock Feed & Veterinary
DAIRY FEED,Livestock Feed & Veterinary
GOAT FEED,Livestock Feed & Veterinary
FISH FEED,Livestock Feed & Veterinary
CHARA PURCHASE,Livestock Feed & Veterinary
FODDER PURCHASE,Livestock Feed & Veterinary
SILAGE PURCHASE,Livestock Feed & Veterinary
PIG FEED,Livestock Feed & Veterinary
HORSE FEED,Livestock Feed & Veterinary
BUFFALO FEED,Livestock Feed & Veterinary
SHEEP FEED,Livestock Feed & Veterinary
ANIMAL VACCINE,Livestock Feed & Veterinary
VET SURGEON FEES,Livestock Feed & Veterinary
VETERINARY CLINIC,Livestock Feed & Veterinary
PASHU CHIKITSA,Livestock Feed & Veterinary
VET MEDICINE,Livestock Feed & Veterinary
IRRIGATION FEES,Irrigation & Water Charges
WATER CHARGES FARM,Irrigation & Water Charges
BOREWELL CHARGES,Irrigation & Water Charges
CANAL WATER FEE,Irrigation & Water Charges
DRIP IRRIGATION,Irrigation & Water Charges
PUMP CHARGES,Irrigation & Water Charges
WATER TAX AGRI,Irrigation & Water Charges
IRRIGATION DEPT,Irrigation & Water Charges
SPRINKLER SYSTEM,Irrigation & Water Charges
MICRO IRRIGATION,Irrigation & Water Charges
SINCHAI VIBHAG,Irrigation & Water Charges
NAHAR CHARGES,Irrigation & Water Charges
GROUNDWATER CHARGES,Irrigation & Water Charges
TUBEWELL CHARGES,Irrigation & Water Charges
PUMP ELECTRICITY,Irrigation & Water Charges
FARM WATER,Irrigation & Water Charges
IRRIGATION AUTHORITY,Irrigation & Water Charges
WATER BOARD FARM,Irrigation & Water Charges
SINCHAI FEES,Irrigation & Water Charges
KISAN JALHAR,Irrigation & Water Charges
JAL SINCHAI,Irrigation & Water Charges
PUMP FUEL WATER,Irrigation & Water Charges
NALKOOP FEES,Irrigation & Water Charges
WATER BOARD AGRI,Irrigation & Water Charges
LABOR PAYMENT,Farm Labor Wages
FARM WORKER WAGES,Farm Labor Wages
HARVEST LABOR,Farm Labor Wages
DAILY WAGE PAYMENT,Farm Labor Wages
MAZDOOR PAYMENT,Farm Labor Wages
KISAN MAJDOOR,Farm Labor Wages
AGRICULTURAL LABOR,Farm Labor Wages
FARM STAFF PAY,Farm Labor Wages
SOWING LABOR,Farm Labor Wages
WEEDING WAGES,Farm Labor Wages
PLANTATION LABOR,Farm Labor Wages
PICKING LABOR,Farm Labor Wages
SEASONAL WORKER,Farm Labor Wages
MIGRANT WORKER PAY,Farm Labor Wages
THRESHING LABOR,Farm Labor Wages
FIELD LABOR,Farm Labor Wages
FARM HAND WAGES,Farm Labor Wages
AGRI DAILY WAGES,Farm Labor Wages
CHAKKAR WAGES,Farm Labor Wages
LABOUR CONTRACTOR,Farm Labor Wages
MAZDOOR DAILY,Farm Labor Wages
FARM WAGES NEFT,Farm Labor Wages
WAGES TO LABOUR,Farm Labor Wages
AGRI MAZDOOR,Farm Labor Wages
TRACTOR FUEL,Fuel & Machinery Maintenance
DIESEL FARM,Fuel & Machinery Maintenance
MACHINERY REPAIR,Fuel & Machinery Maintenance
TRACTOR SERVICE,Fuel & Machinery Maintenance
PUMP REPAIR,Fuel & Machinery Maintenance
EQUIPMENT MAINTENANCE,Fuel & Machinery Maintenance
FARM DIESEL,Fuel & Machinery Maintenance
AGRI MACHINERY,Fuel & Machinery Maintenance
COMBINE HARVESTER SERVICE,Fuel & Machinery Maintenance
CULTIVATOR REPAIR,Fuel & Machinery Maintenance
TRACTOR PART,Fuel & Machinery Maintenance
DIESEL PURCHASE,Fuel & Machinery Maintenance
PETROL PUMP FARM,Fuel & Machinery Maintenance
LUBRICANTS PURCHASE,Fuel & Machinery Maintenance
ENGINE OIL,Fuel & Machinery Maintenance
SPARE PART TRACTOR,Fuel & Machinery Maintenance
WORKSHOP FARM,Fuel & Machinery Maintenance
MECHANIC PAYMENT,Fuel & Machinery Maintenance
HYDRAULIC OIL,Fuel & Machinery Maintenance
BATTERY FARM,Fuel & Machinery Maintenance
WELDING CHARGES,Fuel & Machinery Maintenance
BLACKSMITH FEES,Fuel & Machinery Maintenance
GENERATOR FUEL,Fuel & Machinery Maintenance
PUMP DIESEL,Fuel & Machinery Maintenance
LAND RENT,Land Lease & Rent
FARM LEASE,Land Lease & Rent
AGRICULTURAL RENT,Land Lease & Rent
FARM LAND RENT,Land Lease & Rent
LAND LEASE PAYMENT,Land Lease & Rent
KHET KIRAYA,Land Lease & Rent
PATTA LAND RENT,Land Lease & Rent
LEASE AGRI,Land Lease & Rent
LAND OWNER PAYMENT,Land Lease & Rent
PLOT RENT FARM,Land Lease & Rent
KHETI BHADA,Land Lease & Rent
LEASE HOLDER,Land Lease & Rent
ZAMINDARI PAYMENT,Land Lease & Rent
LANDLORD FARMER,Land Lease & Rent
FARM OWNER RENT,Land Lease & Rent
KHETIWADI,Land Lease & Rent
BARGAS PAYMENT,Land Lease & Rent
TENANT FARMER RENT,Land Lease & Rent
CROP SHARE RENT,Land Lease & Rent
LAND RENTAL,Land Lease & Rent
SEASONAL LAND LEASE,Land Lease & Rent
ANNUAL LAND RENT,Land Lease & Rent
FARM RENT NEFT,Land Lease & Rent
LAND BHADA,Land Lease & Rent
CATTLE PURCHASE,Livestock (Biological Assets)
ANIMAL PURCHASE,Livestock (Biological Assets)
LIVESTOCK BUY,Livestock (Biological Assets)
BUFFALO PURCHASE,Livestock (Biological Assets)
GOAT PURCHASE,Livestock (Biological Assets)
SHEEP PURCHASE,Livestock (Biological Assets)
DAIRY COW PURCHASE,Livestock (Biological Assets)
POULTRY PURCHASE,Livestock (Biological Assets)
HEN PURCHASE,Livestock (Biological Assets)
BULL PURCHASE,Livestock (Biological Assets)
HEIFER BUY,Livestock (Biological Assets)
CALF PURCHASE,Livestock (Biological Assets)
ANIMAL FAIR BUY,Livestock (Biological Assets)
PASHU MELA BUY,Livestock (Biological Assets)
CATTLE MARKET,Livestock (Biological Assets)
LIVESTOCK MARKET,Livestock (Biological Assets)
FISH FINGERLINGS,Livestock (Biological Assets)
PRAWN SEED BUY,Livestock (Biological Assets)
AQUACULTURE BUY,Livestock (Biological Assets)
PIGGERY PURCHASE,Livestock (Biological Assets)
RAM PURCHASE,Livestock (Biological Assets)
EWE PURCHASE,Livestock (Biological Assets)
CAMEL PURCHASE,Livestock (Biological Assets)
HORSE BUY,Livestock (Biological Assets)
TRACTOR PURCHASE,Farm Machinery & Equipment
HARVESTER BUY,Farm Machinery & Equipment
FARM EQUIPMENT BUY,Farm Machinery & Equipment
AGRI MACHINERY BUY,Farm Machinery & Equipment
PUMP SET PURCHASE,Farm Machinery & Equipment
THRESHER BUY,Farm Machinery & Equipment
ROTAVATOR,Farm Machinery & Equipment
CULTIVATOR BUY,Farm Machinery & Equipment
SPRAYER MACHINE,Farm Machinery & Equipment
SEEDER PURCHASE,Farm Machinery & Equipment
PLOUGH BUY,Farm Machinery & Equipment
RICE TRANSPLANTER,Farm Machinery & Equipment
COMBINE HARVESTER,Farm Machinery & Equipment
CHAFF CUTTER,Farm Machinery & Equipment
POWER TILLER,Farm Machinery & Equipment
LASER LEVELER,Farm Machinery & Equipment
DRIP KIT PURCHASE,Farm Machinery & Equipment
SOLAR PUMP BUY,Farm Machinery & Equipment
SUBMERSIBLE PUMP,Farm Machinery & Equipment
WATER PUMP BUY,Farm Machinery & Equipment
AGRI MOTOR,Farm Machinery & Equipment
FARM TOOL PURCHASE,Farm Machinery & Equipment
IMPLEMENTS BUY,Farm Machinery & Equipment
DISC HARROW,Farm Machinery & Equipment
WAREHOUSE STORAGE,Stored Harvest (Inventory)
COLD STORAGE FEES,Stored Harvest (Inventory)
GRAIN STORAGE,Stored Harvest (Inventory)
CROP STORAGE,Stored Harvest (Inventory)
MANDI STORAGE,Stored Harvest (Inventory)
PRODUCE STORAGE,Stored Harvest (Inventory)
SILO CHARGES,Stored Harvest (Inventory)
GODOWN RENT,Stored Harvest (Inventory)
WAREHOUSE RENT AGRI,Stored Harvest (Inventory)
COLD CHAIN STORAGE,Stored Harvest (Inventory)
POTATO STORAGE,Stored Harvest (Inventory)
ONION STORAGE,Stored Harvest (Inventory)
GRAIN GODOWN,Stored Harvest (Inventory)
FOOD CORP STORAGE,Stored Harvest (Inventory)
FCI STORAGE,Stored Harvest (Inventory)
NAFED STORAGE,Stored Harvest (Inventory)
HARVEST STOCKING,Stored Harvest (Inventory)
COMMODITY STORAGE,Stored Harvest (Inventory)
AGRI WAREHOUSE,Stored Harvest (Inventory)
CROP STACKING,Stored Harvest (Inventory)
FARMER STORAGE SHED,Stored Harvest (Inventory)
RURAL GODOWN,Stored Harvest (Inventory)
CUSTOM MILLING,Stored Harvest (Inventory)
AGRI STOCKIST,Stored Harvest (Inventory)
KCC LOAN,Agricultural Loans (KCC)
KISAN CREDIT CARD,Agricultural Loans (KCC)
AGRI LOAN EMI,Agricultural Loans (KCC)
FARM LOAN REPAYMENT,Agricultural Loans (KCC)
KCC REPAYMENT,Agricultural Loans (KCC)
KISAN LOAN DEBIT,Agricultural Loans (KCC)
NACH AGRI EMI,Agricultural Loans (KCC)
AGRI LOAN NACH,Agricultural Loans (KCC)
KCC DEBIT,Agricultural Loans (KCC)
CROP LOAN,Agricultural Loans (KCC)
SEASONAL LOAN,Agricultural Loans (KCC)
SBI KISAN LOAN,Agricultural Loans (KCC)
NABARD LOAN,Agricultural Loans (KCC)
PNB AGRI LOAN,Agricultural Loans (KCC)
BANK KISAN LOAN,Agricultural Loans (KCC)
RURAL LOAN,Agricultural Loans (KCC)
AGRI CREDIT,Agricultural Loans (KCC)
KCC INTEREST,Agricultural Loans (KCC)
FARM CREDIT EMI,Agricultural Loans (KCC)
COOPERATIVE LOAN,Agricultural Loans (KCC)
DISTRICT BANK LOAN,Agricultural Loans (KCC)
AGRI EMI NACH,Agricultural Loans (KCC)
KISAN LOAN NEFT,Agricultural Loans (KCC)
KCC MONTHLY,Agricultural Loans (KCC)
INTERNSHIP CREDIT,Internship Stipend
STIPEND CREDIT,Internship Stipend
INTERN STIPEND,Internship Stipend
TRAINING STIPEND,Internship Stipend
INTERN SALARY,Internship Stipend
FELLOWSHIP STIPEND,Internship Stipend
NEFT STIPEND,Internship Stipend
IMPS INTERN PAY,Internship Stipend
COMPANY INTERN PAY,Internship Stipend
INDUSTRIAL TRAINING,Internship Stipend
INTERNSHIP NEFT,Internship Stipend
TRAINEE PAY,Internship Stipend
SUMMER INTERN,Internship Stipend
WINTER INTERN,Internship Stipend
PAID INTERNSHIP,Internship Stipend
STIPEND INWARD,Internship Stipend
APPRENTICE STIPEND,Internship Stipend
LEARNER STIPEND,Internship Stipend
GRAD TRAINEE,Internship Stipend
CAMPUS INTERN,Internship Stipend
INDUSTRIAL STIPEND,Internship Stipend
GOVT INTERNSHIP,Internship Stipend
STARTUP INTERN,Internship Stipend
CORPORATE INTERN,Internship Stipend
SCHOLARSHIP CREDIT,Scholarships & Grants
MERIT SCHOLARSHIP,Scholarships & Grants
GOVT SCHOLARSHIP,Scholarships & Grants
EDUCATION GRANT,Scholarships & Grants
NSP SCHOLARSHIP,Scholarships & Grants
STATE SCHOLARSHIP,Scholarships & Grants
NEFT SCHOLARSHIP,Scholarships & Grants
DBT SCHOLARSHIP,Scholarships & Grants
MINORITY SCHOLARSHIP,Scholarships & Grants
FELLOWSHIP GRANT,Scholarships & Grants
NATIONAL SCHOLARSHIP,Scholarships & Grants
MERIT GRANT,Scholarships & Grants
ICCR SCHOLARSHIP,Scholarships & Grants
AICTE SCHOLARSHIP,Scholarships & Grants
UGC FELLOWSHIP,Scholarships & Grants
CSIR FELLOWSHIP,Scholarships & Grants
INSPIRE SCHOLARSHIP,Scholarships & Grants
MAULANA AZAD,Scholarships & Grants
SC SCHOLARSHIP,Scholarships & Grants
ST SCHOLARSHIP,Scholarships & Grants
OBC SCHOLARSHIP,Scholarships & Grants
PRIME MINISTER SCHOLARSHIP,Scholarships & Grants
SCHOLARSHIP INWARD,Scholarships & Grants
GOVT BURSARY,Scholarships & Grants
PARENT TRANSFER,Parental Support/Allowance
FAMILY SUPPORT,Parental Support/Allowance
MONTHLY ALLOWANCE,Parental Support/Allowance
POCKET MONEY,Parental Support/Allowance
HOME REMITTANCE,Parental Support/Allowance
FAMILY TRANSFER,Parental Support/Allowance
NEFT FROM PARENT,Parental Support/Allowance
IMPS FROM PARENT,Parental Support/Allowance
GUARDIAN TRANSFER,Parental Support/Allowance
REMITTANCE FAMILY,Parental Support/Allowance
FATHER TRANSFER,Parental Support/Allowance
MOTHER TRANSFER,Parental Support/Allowance
PARENTAL NEFT,Parental Support/Allowance
HOME MONEY,Parental Support/Allowance
FAMILY NEFT,Parental Support/Allowance
UPI FROM FAMILY,Parental Support/Allowance
GUARDIAN SUPPORT,Parental Support/Allowance
PARENT ALLOWANCE,Parental Support/Allowance
HOME ALLOWANCE,Parental Support/Allowance
FAMILY ALLOWANCE,Parental Support/Allowance
MONTHLY SUPPORT,Parental Support/Allowance
HOUSEHOLD TRANSFER,Parental Support/Allowance
KIN TRANSFER,Parental Support/Allowance
DOMESTIC REMITTANCE,Parental Support/Allowance
COLLEGE FEES,Tuition & College Fees
UNIVERSITY FEES,Tuition & College Fees
TUITION PAYMENT,Tuition & College Fees
ADMISSION FEES,Tuition & College Fees
SEMESTER FEES,Tuition & College Fees
COURSE FEES,Tuition & College Fees
NEFT COLLEGE,Tuition & College Fees
SCHOOL FEES,Tuition & College Fees
INSTITUTE FEES,Tuition & College Fees
IIT FEES,Tuition & College Fees
NIT FEES,Tuition & College Fees
DU FEES,Tuition & College Fees
COLLEGE FEE PAYMENT,Tuition & College Fees
ANNUAL COLLEGE FEES,Tuition & College Fees
TERM FEES,Tuition & College Fees
ENROLLMENT FEES,Tuition & College Fees
EXAM PORTAL FEES,Tuition & College Fees
MANAGEMENT FEES,Tuition & College Fees
DEVELOPMENT FEES,Tuition & College Fees
UNIVERSITY PORTAL,Tuition & College Fees
ONLINE TUITION,Tuition & College Fees
COACHING FEES,Tuition & College Fees
JEE COACHING,Tuition & College Fees
NEET COACHING,Tuition & College Fees
AMAZON BOOKS,Books & Digital Learning
KINDLE PURCHASE,Books & Digital Learning
CHEGG SUBSCRIPTION,Books & Digital Learning
BYJUS PAYMENT,Books & Digital Learning
VEDANTU FEES,Books & Digital Learning
UNACADEMY FEES,Books & Digital Learning
COURSERA PAYMENT,Books & Digital Learning
SKILLSHARE,Books & Digital Learning
UDEMY COURSE,Books & Digital Learning
EDTECH PAYMENT,Books & Digital Learning
TEXTBOOK PURCHASE,Books & Digital Learning
STUDY MATERIAL,Books & Digital Learning
SCRIBD SUBSCRIPTION,Books & Digital Learning
TOPPR PAYMENT,Books & Digital Learning
EDUREKA,Books & Digital Learning
SIMPLILEARN,Books & Digital Learning
O REILLY SUBSCRIPTION,Books & Digital Learning
PLURALSIGHT,Books & Digital Learning
NPTEL COURSE,Books & Digital Learning
SWAYAM FEES,Books & Digital Learning
DIGITAL LIBRARY,Books & Digital Learning
E-BOOK PURCHASE,Books & Digital Learning
REFERENCE BOOK,Books & Digital Learning
ACADEMIC JOURNAL,Books & Digital Learning
UPSC FEES,Exam & Certification Fees
NEET FEES,Exam & Certification Fees
JEE FEES,Exam & Certification Fees
EXAM FORM FEES,Exam & Certification Fees
GATE FEES,Exam & Certification Fees
CAT FEES,Exam & Certification Fees
GMAT FEES,Exam & Certification Fees
GRE FEES,Exam & Certification Fees
BOARD EXAM FEES,Exam & Certification Fees
UNIVERSITY EXAM,Exam & Certification Fees
COMPETITIVE EXAM,Exam & Certification Fees
TEST FEES,Exam & Certification Fees
BANK EXAM FEES,Exam & Certification Fees
SSC FEES,Exam & Certification Fees
